,target,alt_tar_lst,phon,sem
2038,consternation,immunity,11.0,0.810178252279705
2039,consternation,constellations,3.0,0.3199214880018151
2040,immunity,immunity,0.0,0.0
2041,immunity,constellation,12.0,0.781134097305204
2042,immunity,consternation,11.0,0.810178252279705
2043,immunity,constellations,13.0,0.810178252279705
2044,constellations,constellations,0.0,7.401486830834377e-17
2045,constellations,constellation,1.0,0.5967902627746732
2046,constellations,consternation,3.0,0.3199214880018151
2047,constellations,immunity,13.0,0.810178252279705
2048,pasture,pasture,0.0,0.0
2049,pasture,pastor,2.0,0.6333572954084661
2050,pasture,altercation,9.0,0.6507489536516284
2051,pasture,pastures,1.0,0.7525630790633961
2052,pastor,pastor,0.0,0.0
2053,pastor,pasture,2.0,0.6333572954084661
2054,pastor,altercation,9.0,0.6403794098263799
2055,pastor,pastures,3.0,0.8100950458440032
2056,altercation,altercation,0.0,0.0
2057,altercation,pasture,9.0,0.6507489536516284
2058,altercation,pastor,9.0,0.6403794098263799
2059,altercation,pastures,9.0,0.7984722321386737
2060,pastures,pastures,0.0,0.0
2061,pastures,pasture,1.0,0.7525630790633961
2062,pastures,pastor,3.0,0.8100950458440032
2063,pastures,altercation,9.0,0.7984722321386737
2064,pastor,pastor,0.0,0.0
2065,pastor,pasture,2.0,0.6333572954084661
2066,pastor,escalation,7.0,0.7409433014906454
2067,pastor,pastors,1.0,0.24082496634214645
2068,pasture,pasture,0.0,0.0
2069,pasture,pastor,2.0,0.6333572954084661
2070,pasture,escalation,8.0,0.7610245585831577
2071,pasture,pastors,2.0,0.5960472422297005
2072,escalation,escalation,0.0,0.0
2073,escalation,pastor,7.0,0.7409433014906454
2074,escalation,pasture,8.0,0.7610245585831577
2075,escalation,pastors,8.0,0.7222979021352192
2076,pastors,pastors,0.0,1.1102230246251565e-16
2077,pastors,pastor,1.0,0.24082496634214645
2078,pastors,pasture,2.0,0.5960472422297005
2079,pastors,escalation,8.0,0.7222979021352192
2080,mercenary,mercenary,0.0,1.1102230246251565e-16
2081,mercenary,missionary,5.0,0.54181956424456
2082,mercenary,apostrophe,10.0,0.6618095004821616
2083,mercenary,mercenaries,3.0,0.18886141735269402
2084,missionary,missionary,0.0,1.1102230246251565e-16
2085,missionary,mercenary,5.0,0.54181956424456
2086,missionary,apostrophe,9.0,0.5394461759271374
2087,missionary,mercenaries,8.0,0.6137234148690195
2088,apostrophe,apostrophe,0.0,0.0
2089,apostrophe,mercenary,10.0,0.6618095004821616
2090,apostrophe,missionary,9.0,0.5394461759271374
2091,apostrophe,mercenaries,10.0,0.6661920895163262
2092,mercenaries,mercenaries,0.0,0.0
2093,mercenaries,mercenary,3.0,0.18886141735269402
2094,mercenaries,missionary,8.0,0.6137234148690195
2095,mercenaries,apostrophe,10.0,0.6661920895163262
2096,missionary,missionary,0.0,1.1102230246251565e-16
2097,missionary,mercenary,5.0,0.54181956424456
2098,missionary,admission,5.0,0.7130959201986911
2099,missionary,missionaries,3.0,0.2268230906666021
2100,mercenary,mercenary,0.0,1.1102230246251565e-16
2101,mercenary,missionary,5.0,0.54181956424456
2102,mercenary,admission,9.0,0.7717206044845817
2103,mercenary,missionaries,8.0,0.5811954693519837
2104,admission,admission,0.0,0.0
2105,admission,missionary,5.0,0.7130959201986911
2106,admission,mercenary,9.0,0.7717206044845817
2107,admission,missionaries,7.0,0.6969165196265599
2108,missionaries,missionaries,0.0,0.0
2109,missionaries,missionary,3.0,0.2268230906666021
2110,missionaries,mercenary,8.0,0.5811954693519837
2111,missionaries,admission,7.0,0.6969165196265599
2112,dalmatian,dalmatian,0.0,5.551115123125783e-17
2113,dalmatian,damnation,3.0,0.6997078309566716
2114,dalmatian,umpire,7.0,0.7322185026216208
2115,dalmatian,dalmations,2.0,0.43362067070835303
2116,damnation,damnation,0.0,0.0
2117,damnation,dalmatian,3.0,0.6997078309566716
2118,damnation,umpire,7.0,0.8058386252283259
2119,damnation,dalmations,3.0,0.7503590942207083
2120,umpire,umpire,0.0,1.1102230246251565e-16
2121,umpire,dalmatian,7.0,0.7322185026216208
2122,umpire,damnation,7.0,0.8058386252283259
2123,umpire,dalmations,8.0,0.6645363979654897
2124,dalmations,dalmations,0.0,3.700743415417188e-17
2125,dalmations,dalmatian,2.0,0.43362067070835303
2126,dalmations,damnation,3.0,0.7503590942207083
2127,dalmations,umpire,8.0,0.6645363979654897
2128,damnation,damnation,0.0,0.0
2129,damnation,dalmatian,3.0,0.6997078309566716
2130,damnation,inference,9.0,0.7514500246973539
2131,damnation,damnations,1.0,0.1392465547925808
2132,dalmatian,dalmatian,0.0,5.551115123125783e-17
2133,dalmatian,damnation,3.0,0.6997078309566716
2134,dalmatian,inference,9.0,0.8949681336626057
2135,dalmatian,damnations,4.0,0.7274232157295398
2136,inference,inference,0.0,1.1102230246251565e-16
2137,inference,damnation,9.0,0.7514500246973539
2138,inference,dalmatian,9.0,0.8949681336626057
2139,inference,damnations,9.0,0.7514500246973539
2140,damnations,damnations,0.0,5.551115123125783e-17
2141,damnations,damnation,1.0,0.1392465547925808
2142,damnations,dalmatian,4.0,0.7274232157295398
2143,damnations,inference,9.0,0.7514500246973539
2144,density,density,0.0,0.0
2145,density,destiny,3.0,0.7436491727101526
2146,density,missionary,7.0,0.7490863919203037
2147,density,densities,3.0,0.31377468474415093
2148,destiny,destiny,0.0,0.0
2149,destiny,density,3.0,0.7436491727101526
2150,destiny,missionary,6.0,0.7222988234702925
2151,destiny,densities,4.0,0.7727226837185668
2152,missionary,missionary,0.0,1.1102230246251565e-16
2153,missionary,density,7.0,0.7490863919203037
2154,missionary,destiny,6.0,0.7222988234702925
